episode,reward,revenue,rooms_sold,occupancy_rate,epsilon,average_q
87,-1892.0423274566774,14500.0,4,0.08,0.6498078359349755,0.0
88,-1428.1313242315407,43000.0,11,0.22,0.6465587967553006,0.0
89,-1504.3015218748847,40000.0,11,0.22,0.6433260027715241,0.059198
90,-859.2000000000003,66500.0,15,0.3,0.6401093727576664,0.0684
91,-1929.8420734567248,23000.0,6,0.12,0.6369088258938781,0.0068000000000000005
92,-1716.1073902175299,7000.0,2,0.04,0.6337242817644086,-0.0572
93,-2327.2051552590337,11500.0,3,0.06,0.6305556603555866,0.0
94,-1712.1999999999987,18000.0,5,0.1,0.6274028820538087,0.0
95,-2155.556227574417,11000.0,3,0.06,0.6242658676435396,0.0
96,-1661.6146575038476,9000.0,3,0.06,0.6211445383053219,0.044000000000000004
97,-2000.0834446485082,11000.0,3,0.06,0.6180388156137953,0.0
98,-1583.1639998492135,27500.0,8,0.16,0.6149486215357263,0.0456
99,-1637.3272403060168,23000.0,6,0.12,0.6118738784280476,0.0
100,-1873.3999999999996,3000.0,1,0.02,0.6088145090359074,0.0
101,-1404.4000000000005,29500.0,7,0.14,0.6057704364907278,0.016808489467582146
102,-2067.609492415533,10500.0,3,0.06,0.6027415843082742,0.020399600000000007
103,-1522.7210475623851,31500.0,9,0.18,0.5997278763867329,0.04116
104,-1375.8002067398866,34000.0,9,0.18,0.5967292370047992,0.09400000000000003
105,-902.6699655523705,27000.0,7,0.14,0.5937455908197752,-0.10484414380691585
106,-1809.9999999999995,12000.0,4,0.08,0.5907768628656763,0.047200000000000006
107,-1891.1452433895877,22000.0,7,0.14,0.5878229785513479,0.0
108,-1642.7813310817307,24500.0,8,0.16,0.5848838636585911,-0.019399999999999994
109,-1826.8547337840075,9000.0,3,0.06,0.5819594443402982,0.0
110,-456.0000000000001,58500.0,15,0.3,0.5790496471185967,0.0
111,-2490.2396495179037,11000.0,3,0.06,0.5761543988830038,-0.03690265494779634
112,-1163.8637544359262,43000.0,13,0.26,0.5732736268885887,0.14765918
113,-1880.600000000001,9000.0,3,0.06,0.5704072587541458,0.0424
114,-1620.6000000000004,16500.0,4,0.08,0.567555222460375,0.0
115,-1992.222312993461,9000.0,3,0.06,0.5647174463480732,0.0
116,-2235.539040220386,13000.0,3,0.06,0.5618938591163328,-0.02929923868077106
117,-1257.9058175107837,42500.0,12,0.24,0.5590843898207511,-0.22268769893280915
118,-1935.0227879781655,12000.0,3,0.06,0.5562889678716474,-0.11510112
119,-1336.3312836715581,42500.0,11,0.22,0.5535075230322891,0.1303118808
120,-1979.960796814015,10500.0,3,0.06,0.5507399854171277,0.0
121,-1238.1999999999998,32500.0,8,0.16,0.547986285490042,0.041639600000000006
122,-1264.5135005263805,35500.0,10,0.2,0.5452463540625918,0.10540000000000001
123,-2098.73667984205,3000.0,1,0.02,0.5425201222922789,0.09496643161205717
124,-1716.8000000000002,6500.0,1,0.02,0.5398075216808175,0.0
125,-1548.8000000000015,20500.0,5,0.1,0.5371084840724134,0.0404
126,-1653.3537107077987,6000.0,2,0.04,0.5344229416520513,0.0516
127,-682.0888282261918,50500.0,15,0.3,0.531750826943791,0.046400000000000004
128,-786.416223242284,60500.0,14,0.28,0.5290920728090721,0.014399600000000002
129,-1723.5068965223163,6000.0,2,0.04,0.5264466124450268,-0.07119999999999999
130,-639.7122935994387,45000.0,14,0.28,0.5238143793828016,0.055200000000000006
131,-331.11335300229626,66500.0,17,0.34,0.5211953074858876,0.07560026484905363
132,-775.8000000000002,32000.0,9,0.18,0.5185893309484582,0.0
133,-1398.6081684521491,29000.0,9,0.18,0.5159963842937159,-0.054400000000000004
134,-1810.4880039613677,12000.0,4,0.08,0.5134164023722473,0.0456
135,-1354.5616770485394,38500.0,10,0.2,0.510849320360386,0.0421164
136,-1478.5133552314978,26500.0,8,0.16,0.5082950737585841,0.4710045323300596
137,-1261.1928309476368,26000.0,7,0.14,0.5057535983897912,0.06360000000000002
138,-1354.031316646745,34000.0,8,0.16,0.5032248303978422,0.08697223438720181
139,-2080.44495226524,0.0,0,0.0,0.500708706245853,0.0404
140,-1458.188067169664,21500.0,7,0.14,0.4982051627146237,0.11571172632
141,-1310.1839649132066,21500.0,7,0.14,0.49571413690105054,0.0
142,-1824.4000000000015,4500.0,1,0.02,0.4932355662165453,0.0
143,-1250.8908896872122,15000.0,5,0.1,0.4907693883854626,0.0906
144,-1246.8140812792644,27500.0,7,0.14,0.4883155414435353,0.1944
145,-731.9788100442063,33500.0,10,0.2,0.4858739637363176,0.08514953605939729
146,-609.332182873414,56500.0,16,0.32,0.483444593917636,-0.0341864
147,-765.2,29500.0,7,0.14,0.4810273709480478,-0.006446399999999999
148,-491.4795988287369,42500.0,12,0.24,0.47862223409330756,-0.016
149,-1578.4366196587505,15000.0,5,0.1,0.47622912292284103,0.0984
150,-1391.7831357029957,3000.0,1,0.02,0.4738479773082268,0.0
151,-1685.7342979997495,7000.0,2,0.04,0.47147873742168567,0.0554
152,-1458.7385217448427,23000.0,7,0.14,0.46912134373457726,-0.10973128280224287
153,-1199.0971353360928,24000.0,7,0.14,0.46677573701590436,0.24583777368775903
154,-416.91402689510534,58000.0,17,0.34,0.46444185833082485,0.6014152689196002
155,-1574.2000000000012,3000.0,1,0.02,0.46211964903917074,0.06420000000000001
156,-1719.1729843183107,21000.0,6,0.12,0.4598090507939749,0.23211880000000001
157,-2188.805347598317,6000.0,2,0.04,0.457510005540005,0.0
158,-1807.000000000001,9000.0,3,0.06,0.45522245551230495,0.0044
159,-2279.9488744724936,6500.0,2,0.04,0.4529463432347434,0.08993494105603457
160,-1406.0190094510717,15000.0,4,0.08,0.4506816115185697,0.0
161,-1304.026240004696,34000.0,10,0.2,0.4484282034609769,-0.015593203093020947
162,-1638.9183003077453,0.0,0,0.0,0.446186062443672,0.0
163,-1585.882164015973,6000.0,2,0.04,0.4439551321314536,0.0
164,-1409.7999999999995,9000.0,3,0.06,0.4417353564707963,0.0024
165,-810.4659529738858,43500.0,12,0.24,0.43952667968844233,-0.08139295418973098
166,-1426.3923531790174,29500.0,8,0.16,0.43732904629000013,-0.14184195901367747
167,-2133.6242774262346,12000.0,4,0.08,0.4351424010585501,0.0344067913736582
168,-1531.7787587341004,15500.0,5,0.1,0.43296668905325736,0.049600000000000005
169,-1041.182663470182,22500.0,6,0.12,0.43080185560799106,-0.03868200000000001
170,-362.8095030944308,53000.0,14,0.28,0.4286478463299511,-0.005550997770022202
171,-1029.1999999999998,32500.0,9,0.18,0.42650460709830135,0.0
172,-1739.6335227195636,18500.0,6,0.12,0.42437208406280985,0.0
173,-2065.4278039139617,3000.0,1,0.02,0.4222502236424958,0.07094204886218955
174,-1203.5513117593073,24500.0,6,0.12,0.42013897252428334,0.15403933825804192
175,-1480.7415741816083,29500.0,8,0.16,0.4180382776616619,0.052440000000000014
176,-1357.669907967831,21500.0,6,0.12,0.4159480862733536,-0.0415454019088099
177,-1868.330310151169,11000.0,3,0.06,0.41386834584198684,0.0008000000000000007
178,-910.4000000000005,25500.0,7,0.14,0.4117990041127769,-0.06
179,-1558.5805247440671,8500.0,2,0.04,0.40974000909221303,0.0
180,-634.2031404949928,40500.0,9,0.18,0.40769130904675194,0.038355600000000004
181,-1559.2600841550197,14500.0,4,0.08,0.40565285250151817,0.0404
182,-1689.6022473592625,18000.0,5,0.1,0.4036245882390106,0.0
183,-1182.9999999999993,24000.0,7,0.14,0.4016064652978155,0.08067264080000001
184,-1769.3999999999999,12000.0,3,0.06,0.3995984329713264,0.029000000000000005
185,-701.6202219858487,21000.0,6,0.12,0.3976004408064698,0.0
186,-1602.0848757206145,6000.0,2,0.04,0.39561243860243744,0.0
187,-1939.8098084192538,24000.0,8,0.16,0.3936343764094253,-0.022375786570090886
188,-727.5183412576738,38500.0,11,0.22,0.39166620452737816,0.1707994362913263
189,-1329.664983675233,18000.0,4,0.08,0.3897078735047413,0.07836
190,-1290.0,0.0,0,0.0,0.3877593341372176,0.0
191,-905.624006934226,20500.0,6,0.12,0.3858205374665315,-0.5328274581403366
192,-1355.352217112877,11000.0,3,0.06,0.38389143477919885,0.0404
193,-619.8,29500.0,8,0.16,0.3819719776053028,0.011123640000000008
194,-1209.1999999999994,6000.0,2,0.04,0.3800621177172763,0.0
195,-901.528363774469,16500.0,4,0.08,0.37816180712868996,0.0
196,-1259.9841130213963,9500.0,3,0.06,0.37627099809304654,0.08435959999999999
197,-805.2905503360996,28000.0,8,0.16,0.3743896431025813,0.10447124375124003
198,-860.2202731292517,35500.0,10,0.2,0.37251769488706843,0.22389840000000003
199,-1444.6000000000006,3000.0,1,0.02,0.3706551064126331,0.0412
200,-789.4849912844722,33500.0,9,0.18,0.36880183088056995,0.560493772736116
201,-1115.8818950106584,18000.0,6,0.12,0.3669578217261671,0.11731924040000001
202,-780.1369522310191,33500.0,9,0.18,0.36512303261753626,0.056799999999999996
203,-1322.0176503380967,12000.0,4,0.08,0.3632974174544486,0.3593006275098709
204,-1464.2000000000012,9000.0,3,0.06,0.3614809303671764,0.0
205,-1051.9999999999998,16500.0,5,0.1,0.3596735257153405,0.0
206,-886.8000000000001,15500.0,5,0.1,0.3578751580867638,-0.06
207,-1170.200077945227,9000.0,3,0.06,0.35608578229633,0.15879959999999999
208,-1633.5762482089663,22500.0,7,0.14,0.3543053533848483,-0.007310445140500476
209,-1354.0119944813946,3000.0,1,0.02,0.35253382661792404,0.04227273438928471
210,-1099.538132000707,29500.0,9,0.18,0.3507711574848344,0.0
211,-1282.710096680079,9000.0,3,0.06,0.34901730169741024,0.0
212,-949.1999999999999,13000.0,4,0.08,0.3472722151889232,-0.010399999999999996
213,-873.6907511438928,21500.0,7,0.14,0.3455358541129786,0.3446208
214,-371.0907059386938,47000.0,13,0.26,0.3438081748424137,0.323720720528
215,-515.5999999999999,39500.0,11,0.22,0.3420891339682016,0.38369944199999995
216,-980.3459074123909,32500.0,8,0.16,0.3403786882983606,0.35704122239850444
217,-1459.5270097630819,30500.0,10,0.2,0.3386767948568688,0.02383800000000001
218,-545.410839224409,40500.0,12,0.24,0.33698341088258443,0.201209051204333
219,-897.5999999999999,36500.0,9,0.18,0.3352984938281715,0.09837511872073595
220,-1413.4331352593995,9000.0,3,0.06,0.33362200135903064,0.09559999999999999
221,-1195.7406919409864,25000.0,8,0.16,0.33195389135223546,0.22016855725999998
222,-1561.6398085113185,6000.0,2,0.04,0.3302941218954743,0.0775996
223,-1375.9715731554772,18000.0,6,0.12,0.32864265128599696,0.27226041807899504
224,-1006.4117108215211,15500.0,5,0.1,0.326999438029567,0.0
225,-895.6241193936798,23500.0,6,0.12,0.3253644408394192,0.4783233976589172
226,-1813.285702979691,3000.0,1,0.02,0.3237376186352221,0.0
227,-895.5999999999999,20500.0,5,0.1,0.322118930542046,0.1578734
228,-1351.8890821224913,6000.0,2,0.04,0.32050833588933575,0.0
229,-680.0,21000.0,6,0.12,0.31890579420988907,0.04520000000000001
230,-1004.2658477150012,42500.0,11,0.22,0.3173112652388396,0.5017015700051699
231,-655.2783596210501,24000.0,7,0.14,0.3157247089126454,0.08040000000000001
232,-1670.0,0.0,0,0.0,0.3141460853680822,0.0404
233,-523.3508969429679,46000.0,15,0.3,0.3125753549412418,-0.08
234,-961.566572327144,21000.0,7,0.14,0.31101247816653554,-0.36727217556526015
235,-260.9320972481347,38000.0,12,0.24,0.30945741577570285,0.057516
236,-1030.5010123962275,19000.0,6,0.12,0.3079101286968243,0.1406
237,-753.021624239652,39000.0,12,0.24,0.3063705780533402,0.28596771813068045
238,-1207.6396786133416,18000.0,6,0.12,0.30483872516307353,0.17758736075311177
239,-351.07981687239305,45000.0,14,0.28,0.3033145315372582,0.43070968947096505
240,-1252.6000000000001,3000.0,1,0.02,0.3017979588795719,0.1008
241,-1584.9711758218825,3000.0,1,0.02,0.30028896908517405,-0.007444109575887963
242,-1311.8885591178696,17000.0,5,0.1,0.2987875242397482,0.017639200000000004
243,-535.2490381570095,28000.0,9,0.18,0.29729358661854943,0.18523692115960003
244,-512.8602833428529,34500.0,11,0.22,0.29580711868545667,0.0
245,-346.1907255741179,48500.0,16,0.32,0.2943280830920294,0.2791192
246,-1941.9748548997873,3000.0,1,0.02,0.29285644267656924,-0.1548154918571092
247,-488.76779241421355,36500.0,10,0.2,0.2913921604631864,0.35066835662002965
248,-711.7677379801002,38000.0,12,0.24,0.28993519966087045,0.05596000000000002
249,-997.2000000000004,20000.0,6,0.12,0.2884855236625661,0.038397200000000006
250,-892.3557124238293,28500.0,7,0.14,0.28704309604425327,0.14882084
251,-1251.1573290932688,16000.0,5,0.1,0.285607880564032,0.35501330422932015
252,-491.6000000000001,38500.0,11,0.22,0.28417984116121187,0.11127920000000001
253,-1113.8792131303303,12000.0,4,0.08,0.2827589419554058,0.0
254,-1495.1432010293838,6000.0,2,0.04,0.28134514724562876,0.0
255,-774.474239641777,46500.0,14,0.28,0.2799384215094006,0.5832440985763512
256,-964.4431545984705,10000.0,3,0.06,0.27853872940185365,0.0
257,-1171.7261081793831,12000.0,4,0.08,0.27714603575484437,0.14452680244335736
258,-1360.8968998811702,19000.0,6,0.12,0.2757603055760701,0.09416927445349206
259,-1365.256198499843,19000.0,5,0.1,0.2743815040481898,0.3600571869878804
260,-1695.3778120368738,6000.0,2,0.04,0.2730095965279488,0.17105503415043188
261,-101.60000000000036,47000.0,12,0.24,0.27164454854530906,0.1723984
262,-1266.6856050858964,8500.0,2,0.04,0.2702863258025825,-0.04555859656163383
263,-1235.620550818763,9000.0,3,0.06,0.2689348941735696,0.017372457646911095
264,-1448.353950691785,0.0,0,0.0,0.26759021970270175,-0.0719526933611723
265,-1133.1846740304554,18500.0,5,0.1,0.2662522686041882,0.06115104160000001
266,-1276.8381810555172,24000.0,6,0.12,0.2649210072611673,0.0854
267,-1336.3168781768695,12000.0,4,0.08,0.26359640222486147,0.0416
268,-984.7020269888553,13500.0,4,0.08,0.26227842021373715,0.0028000000000000004
269,-604.9470632031847,36000.0,10,0.2,0.2609670281126685,0.2082044706608558
270,-519.2,37000.0,12,0.24,0.25966219297210513,0.0016000000000000003
271,-92.6561631824593,42000.0,13,0.26,0.2583638820072446,0.3644313879496771
272,-1210.0,0.0,0,0.0,0.2570720625972084,0.0404
273,-1134.0311209628599,15000.0,5,0.1,0.25578670228422234,0.0868
274,-15.733996500047056,62000.0,19,0.38,0.25450776877280124,0.32053130591628104
275,-1081.843835018637,3000.0,1,0.02,0.2532352299289372,0.15266547200634759
276,-388.20000000000005,33000.0,9,0.18,0.2519690537792925,0.1516499804
277,-993.8924705967349,21000.0,7,0.14,0.2507092085103961,0.08151699661435811
278,-1027.2426909286944,15000.0,5,0.1,0.2494556624678441,0.047400000000000005
279,-1351.7593759470851,12500.0,4,0.08,0.24820838415550486,0.044356800000000016
280,-1165.5440258707176,15500.0,5,0.1,0.24696734223472733,0.593079934498042
281,-1224.7576146344918,9000.0,3,0.06,0.2457325055235537,0.12369778432126317
282,-1214.5999999999995,7500.0,2,0.04,0.24450384299593592,0.20028460000000003
283,-402.2303848487322,31500.0,10,0.2,0.24328132378095624,0.0176
284,-959.2368265794464,34500.0,11,0.22,0.24206491716205145,-0.034238755639999965
285,-756.5999999999999,10000.0,3,0.06,0.2408545925762412,0.0
286,-800.2261650655383,15000.0,4,0.08,0.23965031961336,0.09507365040000001
287,-1510.8205559122403,15000.0,5,0.1,0.2384520680152932,0.0
288,-658.7459813413233,19000.0,6,0.12,0.23725980767521673,0.0932
289,-762.9999999999999,12500.0,4,0.08,0.23607350863684065,0.1749028
290,-948.9372330861992,6000.0,2,0.04,0.23489314109365644,0.11553111052369083
291,-306.0000000000003,34500.0,11,0.22,0.23371867538818816,-0.5076038464399538
292,-783.0000000000001,38500.0,12,0.24,0.23255008201124722,0.4738179807026017
293,-962.256804107288,16000.0,5,0.1,0.231387331601191,0.4408939094039534
294,-911.639133552947,23500.0,7,0.14,0.23023039494318503,0.1358352
295,-1217.8042465790315,6000.0,2,0.04,0.2290792429684691,0.05000000000000001
296,-1044.5616210131839,6000.0,2,0.04,0.22793384675362674,-0.03404039999999999
297,-965.832375027472,19500.0,6,0.12,0.22679417751985861,0.4113606872
298,-156.16800185843886,47000.0,15,0.3,0.22566020663225933,0.0028384000000000005
299,-983.5673556473726,31000.0,10,0.2,0.22453190559909803,-0.05004793873956806
300,-245.4000000000005,40500.0,12,0.24,0.22340924607110255,0.4923233461338428
301,-812.2320841997127,21000.0,7,0.14,0.22229219984074702,0.04969554822841765
302,-1540.3525291365067,9000.0,3,0.06,0.2211807388415433,0.16716359326060076
303,-349.80000000000007,31000.0,9,0.18,0.22007483514733558,0.5204598
304,-998.9999999999999,13000.0,3,0.06,0.2189744609715989,0.044800000000000006
305,-898.6426422669949,15000.0,5,0.1,0.2178795886667409,0.0415996
306,-704.1999999999999,23000.0,7,0.14,0.2167901907234072,0.19285768239999995
307,-1389.939701591714,3000.0,1,0.02,0.21570623976979014,0.0
308,-1100.2495722771487,9000.0,3,0.06,0.21462770857094118,0.02680849312107845
309,-1314.1555181520757,3000.0,1,0.02,0.21355457002808648,0.042
310,-544.9881150368544,34000.0,11,0.22,0.21248679717794605,0.4666813543392779
311,-1200.595958589161,15000.0,5,0.1,0.21142436319205632,0.18489755600000002
312,-1023.5999999999996,6000.0,2,0.04,0.21036724137609603,0.17724948203487617
313,-536.4482786472556,25500.0,8,0.16,0.20931540516921554,0.16080000000000003
314,-639.1999999999999,19000.0,6,0.12,0.20826882814336947,0.5231032803187999
315,-862.522276335727,25000.0,8,0.16,0.20722748400265262,0.11177817120337707
316,-838.55074846774,15500.0,4,0.08,0.20619134658263935,0.10287760000000003
317,-160.97797138176435,36500.0,10,0.2,0.20516038984972615,0.36280465916000004
318,-321.99999999999966,31500.0,9,0.18,0.2041345879004775,0.2751789695207869
319,-1435.4084107404713,9000.0,3,0.06,0.2031139149609751,0.15013441466750058
320,-738.7023376726465,18000.0,5,0.1,0.20209834538617025,0.2174983875866586
321,-154.77099912341117,45500.0,13,0.26,0.2010878536592394,0.45278827452694215
322,-825.7217745328137,12000.0,4,0.08,0.2000824143909432,0.0
323,-944.4,12000.0,4,0.08,0.19908200231898848,0.08875960000000001
324,-1021.1296236062877,15000.0,5,0.1,0.19808659230739353,0.6720976053150038
325,-611.0000000000001,23500.0,6,0.12,0.19709615934585656,0.3573103208000001
326,-642.0047467336345,33000.0,11,0.22,0.19611067854912728,0.03636
327,-710.3334301912654,12500.0,4,0.08,0.19513012515638165,0.16868867972146745
328,-492.20000000000033,20500.0,6,0.12,0.19415447453059972,0.017679200000000003
329,-810.8000000000004,13000.0,4,0.08,0.19318370215794672,0.4703799296196
330,-498.519498203196,43000.0,14,0.28,0.192217783647157,0.08081471720360002
331,-207.60000000000008,50500.0,13,0.26,0.1912566947289212,-0.04
332,-337.84761104271007,61500.0,18,0.36,0.1903004112552766,0.6736994027634182
333,-636.2960992620503,24000.0,7,0.14,0.18934890919900021,0.044663464618621515
334,-818.9579811843812,13000.0,4,0.08,0.18840216465300522,0.0836
335,-530.4901263928266,27000.0,9,0.18,0.18746015382974018,0.0
336,-818.3999999999995,12000.0,4,0.08,0.1865228530605915,0.12246404040000002
337,-945.1633237637935,7000.0,2,0.04,0.18559023879528855,0.31464428959504415
338,-803.6959325098526,27000.0,8,0.16,0.1846622876013121,0.30654411154960004
339,-654.7061752161203,12000.0,4,0.08,0.18373897616330553,0.17920000000000003
340,-1378.6628493586022,14000.0,4,0.08,0.182820281282489,0.015525708602884568
341,-567.4865766074043,28000.0,9,0.18,0.18190617987607657,0.26789836228656
342,-1001.7127714867638,13000.0,4,0.08,0.18099664897669618,0.0
343,-1016.9999999999998,3000.0,1,0.02,0.1800916657318127,0.32821752263447995
344,-835.0,9000.0,3,0.06,0.17919120740315364,0.11199999999999999
345,19.12736733690241,53000.0,17,0.34,0.17829525136613786,0.5109276358226
346,-1091.4900904683477,3000.0,1,0.02,0.17740377510930716,0.040966443808970604
347,-855.1999999999999,16500.0,5,0.1,0.17651675623376062,0.2955392008572907
348,-647.8453196143287,30000.0,9,0.18,0.1756341724525918,1.0029986794635424
349,-947.1101163892906,15500.0,5,0.1,0.17475600159032884,0.6175005076992908
350,-255.99999999999955,33000.0,10,0.2,0.17388222158237718,0.4246656427423203
351,-584.0392354509015,24500.0,6,0.12,0.1730128104744653,-0.07019337435599994
352,14.85284978945117,56000.0,15,0.3,0.17214774642209296,0.06203321519171601
353,-971.345411225659,12000.0,4,0.08,0.1712870076899825,0.006800000000000001
354,-684.0977842749362,31500.0,10,0.2,0.17043057265153258,0.28606392626916083
355,-78.80000000000052,38500.0,11,0.22,0.16957841978827493,0.272119322
356,-1089.1999999999994,7000.0,2,0.04,0.16873052768933355,0.22355470013655215
357,-642.9939639821691,22000.0,7,0.14,0.1678868750508869,0.3802653385916576
358,-1017.4000000000002,15000.0,5,0.1,0.16704744067563246,0.1610752
359,-940.5999999999998,9000.0,3,0.06,0.1662122034722543,0.16060000000000002
360,81.35609325551087,52000.0,17,0.34,0.16538114245489302,0.4543799214349191
361,-648.9843620420056,24000.0,8,0.16,0.16455423674261854,0.392886796897842
362,-1149.845347408026,3000.0,1,0.02,0.16373146555890544,0.0
363,-995.5837679656172,22500.0,7,0.14,0.16291280823111093,0.15073721616745417
