Agent,Total Revenue,Revenue per Episode,Average Reward,Booking Acceptance Rate,Occupancy Rate,Inventory Utilization,Average Room Price,Rooms Sold,Average Rooms Sold,Remaining Inventory,Training Time,Inference Time
DQN,2512500.0,25125.0,-185.58611292891652,0.5885168210252091,0.15299999999999997,0.15299999999999997,3258.95,765,7.65,42.35,307.86478567123413,182.93535232543945
Q-Learning,2742000.0,27420.0,-144.64958282863657,0.6071972034275607,0.17420000000000002,0.17420000000000002,3181.2,871,8.71,41.29,159.03356051445007,171.70700550079346
Fixed Pricing,2505000.0,25050.0,-535.8721986552148,0.3797711266803372,0.1002,0.1002,5000.0,501,5.01,44.99,0.0,170.83357095718384
Discount Pricing,1973500.0,19735.0,-2875.6178100937527,0.36174849063904785,0.08800000000000001,0.08800000000000001,5150.0,440,4.4,45.6,0.0,157.3798704147339
Random Pricing,2129500.0,21295.0,-2538.058340107695,0.3776252546325518,0.09499999999999999,0.09499999999999999,4980.7,475,4.75,45.25,0.0,156.06401443481445
